  PID TTY      STAT   TIME COMMAND
    1 ?        Ss     0:02 /sbin/init splash
    2 ?        S      0:00 [kthreadd]
    3 ?        S      0:00 [ksoftirqd/0]
    5 ?        S<     0:00 [kworker/0:0H]
    7 ?        S      0:09 [rcu_sched]
    8 ?        S      0:00 [rcu_bh]
    9 ?        S      0:00 [migration/0]
   10 ?        S      0:00 [watchdog/0]
   11 ?        S      0:00 [watchdog/1]
   12 ?        S      0:00 [migration/1]
   13 ?        S      0:00 [ksoftirqd/1]
   15 ?        S<     0:00 [kworker/1:0H]
   16 ?        S      0:00 [watchdog/2]
   17 ?        S      0:00 [migration/2]
   18 ?        S      0:00 [ksoftirqd/2]
   20 ?        S<     0:00 [kworker/2:0H]
   21 ?        S      0:00 [watchdog/3]
   22 ?        S      0:00 [migration/3]
   23 ?        S      0:00 [ksoftirqd/3]
   25 ?        S<     0:00 [kworker/3:0H]
   26 ?        S      0:00 [kdevtmpfs]
   27 ?        S<     0:00 [netns]
   28 ?        S<     0:00 [perf]
   29 ?        S      0:00 [khungtaskd]
   30 ?        S<     0:00 [writeback]
   31 ?        SN     0:00 [ksmd]
   32 ?        SN     0:00 [khugepaged]
   33 ?        S<     0:00 [crypto]
   34 ?        S<     0:00 [kintegrityd]
   35 ?        S<     0:00 [bioset]
   36 ?        S<     0:00 [kblockd]
   37 ?        S<     0:00 [ata_sff]
   38 ?        S<     0:00 [md]
   39 ?        S<     0:00 [devfreq_wq]
   46 ?        S      0:00 [kswapd0]
   47 ?        S<     0:00 [vmstat]
   48 ?        S      0:00 [fsnotify_mark]
   49 ?        S      0:00 [ecryptfs-kthrea]
   64 ?        S<     0:00 [kthrotld]
   65 ?        S<     0:00 [acpi_thermal_pm]
   68 ?        S<     0:00 [bioset]
   69 ?        S<     0:00 [bioset]
   70 ?        S<     0:00 [bioset]
   71 ?        S<     0:00 [bioset]
   72 ?        S<     0:00 [bioset]
   73 ?        S<     0:00 [bioset]
   74 ?        S<     0:00 [bioset]
   75 ?        S<     0:00 [bioset]
   76 ?        S<     0:00 [bioset]
   77 ?        S<     0:00 [bioset]
   78 ?        S<     0:00 [bioset]
   79 ?        S<     0:00 [bioset]
   80 ?        S<     0:00 [bioset]
   81 ?        S<     0:00 [bioset]
   82 ?        S<     0:00 [bioset]
   83 ?        S<     0:00 [bioset]
   84 ?        S<     0:00 [bioset]
   85 ?        S<     0:00 [bioset]
   86 ?        S<     0:00 [bioset]
   87 ?        S<     0:00 [bioset]
   88 ?        S<     0:00 [bioset]
   89 ?        S<     0:00 [bioset]
   90 ?        S<     0:00 [bioset]
   91 ?        S<     0:00 [bioset]
   95 ?        S<     0:00 [ipv6_addrconf]
  109 ?        S<     0:00 [deferwq]
  110 ?        S<     0:00 [charger_manager]
  153 ?        S<     0:00 [kpsmoused]
  154 ?        S      0:00 [scsi_eh_0]
  155 ?        S<     0:00 [scsi_tmf_0]
  158 ?        S      0:00 [scsi_eh_1]
  159 ?        S<     0:00 [scsi_tmf_1]
  160 ?        S      0:00 [scsi_eh_2]
  161 ?        S<     0:00 [scsi_tmf_2]
  162 ?        S      0:00 [scsi_eh_3]
  163 ?        S<     0:00 [scsi_tmf_3]
  164 ?        S      0:00 [scsi_eh_4]
  165 ?        S<     0:00 [scsi_tmf_4]
  166 ?        S      0:00 [scsi_eh_5]
  167 ?        S<     0:00 [scsi_tmf_5]
  174 ?        S<     0:00 [ttm_swap]
  175 ?        S<     0:00 [bioset]
  176 ?        S<     0:00 [bioset]
  180 ?        S<     0:00 [kworker/2:1H]
  261 ?        S<     0:00 [bioset]
  285 ?        S<     0:00 [kworker/1:1H]
  287 ?        S      0:00 [jbd2/sda7-8]
  288 ?        S<     0:00 [ext4-rsv-conver]
  337 ?        S      0:00 [kauditd]
  352 ?        Ss     0:00 /lib/systemd/systemd-journald
  370 ?        Ss     0:00 /sbin/lvmetad -f
  376 ?        Ss     0:01 /lib/systemd/systemd-udevd
  417 ?        S<     0:00 [loop0]
  421 ?        S<     0:00 [loop1]
  426 ?        S<     0:00 [loop2]
  437 ?        S<     0:00 [loop3]
  448 ?        S<     0:00 [loop4]
  458 ?        S<     0:00 [loop5]
  521 ?        S<     0:00 [kworker/3:1H]
  555 ?        S<     0:00 [cfg80211]
  585 ?        S      0:18 [irq/31-iwlwifi]
  662 ?        S<     0:00 [iwlwifi]
  667 ?        S<     0:00 [kvm-irqfd-clean]
  724 ?        S<     0:00 [kworker/0:1H]
  760 ?        S<     0:00 [kworker/u17:1]
  846 ?        S<     0:00 [kmemstick]
  847 ?        S      0:00 [rtsx_usb_ms_1]
  881 ?        Ss     0:00 /usr/sbin/cron -f
  884 ?        Ssl    0:00 /usr/lib/accountsservice/accounts-daemon
